Sum: 1242490
         531092 function calls (531078 primitive calls) in 3.826 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   327294    3.349    0.000    3.349    0.000 {method 'is_prime' of 'pyutils.miller_rabin.MillerRabin' objects}
    12122    0.202    0.000    3.553    0.000 PE_146.py:41(is_solution)
    64680    0.185    0.000    0.185    0.000 PE_146.py:23(<listcomp>)
    11550    0.049    0.000    0.247    0.000 PE_146.py:20(get_mods)
        1    0.016    0.016    3.824    3.824 PE_146.py:17(PE_146)
    66990    0.010    0.000    0.010    0.000 {built-in method builtins.all}
     2310    0.006    0.000    0.253    0.000 PE_146.py:37(<listcomp>)
    45363    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        1    0.001    0.001    0.002    0.002 primes.py:51(get_primes_under_n)
        1    0.000    0.000    0.000    0.000 primes.py:67(<listcomp>)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.000    0.000 primes.py:61(<listcomp>)
       17    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      5/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:978(_find_and_load)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      5/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    3.826    3.826 PE_146.py:12(<module>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      3/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:663(_load_unlocked)
       82    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
